Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Master,Miss,Cabin_A,Cabin_B,Cabin_C,Cabin_D,Cabin_E,Cabin_F,Cabin_G,Cabin_T,Emb_C,Emb_Q,Emb_S,Fare_round
1,3,0,25.77695604093426,0,0,8.1125,0,0,0,0,0,0,0,0,0,0,0,0,1,8.0
1,1,0,4.0,0,2,81.8583,1,0,1,0,0,0,0,0,0,0,0,0,1,82.0
1,2,1,13.0,0,1,19.5,0,1,0,0,0,0,0,0,0,0,0,0,1,20.0
1,1,0,34.0,0,0,26.55,0,0,0,0,0,0,0,0,0,0,0,0,1,27.0
1,3,1,5.0,2,1,19.2583,0,1,0,0,0,0,0,0,0,0,1,0,0,19.0
1,1,0,52.0,0,0,30.5,0,0,0,0,1,0,0,0,0,0,0,0,1,30.0
0,2,0,36.0,1,2,27.75,0,0,0,0,0,0,0,0,0,0,0,0,1,28.0
0,3,0,27.70467907843885,1,0,19.9667,0,0,0,0,0,0,0,0,0,0,0,0,1,20.0
0,1,0,30.0,0,0,27.75,0,0,0,0,1,0,0,0,0,0,1,0,0,28.0
1,1,0,49.0,1,0,89.1042,0,0,0,0,1,0,0,0,0,0,1,0,0,89.0
0,3,0,29.952125548674772,0,0,8.05,0,0,0,0,0,0,0,0,0,0,0,0,1,8.0
1,3,0,29.0,0,0,7.8958,0,0,0,0,0,0,0,0,0,0,1,0,0,8.0
0,1,0,65.0,0,0,26.55,0,0,0,0,0,0,1,0,0,0,0,0,1,27.0
1,1,1,43.82194272577759,1,0,51.8625,0,0,0,0,0,1,0,0,0,0,0,0,1,52.0
1,2,1,50.0,0,0,10.5,0,1,0,0,0,0,0,0,0,0,0,0,1,10.0
0,3,0,35.57297546188704,0,0,7.75,0,0,0,0,0,0,0,0,0,0,0,1,0,8.0
1,1,0,48.0,0,0,26.55,0,0,0,0,0,0,1,0,0,0,0,0,1,27.0
0,3,0,34.0,0,0,8.05,0,0,0,0,0,0,0,0,0,0,0,0,1,8.0
0,1,0,47.0,0,0,38.5,0,0,0,0,0,0,1,0,0,0,0,0,1,38.0
0,2,0,48.0,0,0,13.0,0,0,0,0,0,0,0,0,0,0,0,0,1,13.0
0,3,0,29.952125548674772,0,0,8.05,0,0,0,0,0,0,0,0,0,0,0,0,1,8.0
0,3,0,38.0,0,0,7.05,0,0,0,0,0,0,0,0,0,0,0,0,1,7.0
0,2,0,36.14344158372426,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
0,1,0,56.0,0,0,26.55,0,0,0,0,0,0,0,0,0,0,0,0,1,27.0
0,3,0,35.57296880968618,0,0,7.725,0,0,0,0,0,0,0,0,0,0,0,1,0,8.0
1,3,1,0.75,2,1,19.2583,0,1,0,0,0,0,0,0,0,0,1,0,0,19.0
0,3,0,29.95191267824722,0,0,7.25,0,0,0,0,0,0,0,0,0,0,0,0,1,7.0
0,3,0,38.0,0,0,8.6625,0,0,0,0,0,0,0,0,0,0,0,0,1,9.0
1,2,1,33.0,1,2,27.75,0,0,0,0,0,0,0,0,0,0,0,0,1,28.0
1,2,1,23.0,0,0,13.7917,0,0,0,0,0,1,0,0,0,0,1,0,0,14.0
0,3,1,22.0,0,0,9.8375,0,1,0,0,0,0,0,0,0,0,0,0,1,10.0
0,1,0,50.249582085536666,0,0,52.0,0,0,1,0,0,0,0,0,0,0,0,0,1,52.0
0,2,0,34.0,1,0,21.0,0,0,0,0,0,0,0,0,0,0,0,0,1,21.0
0,3,0,29.0,1,0,7.0458,0,0,0,0,0,0,0,0,0,0,0,0,1,7.0
0,3,0,22.0,0,0,7.5208,0,0,0,0,0,0,0,0,0,0,0,0,1,8.0
1,3,1,2.0,0,1,12.2875,0,1,0,0,0,0,0,0,0,0,0,0,1,12.0
0,3,0,9.0,5,2,46.9,1,0,0,0,0,0,0,0,0,0,0,0,1,47.0
0,2,0,36.14344158372426,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
0,3,0,50.0,0,0,8.05,0,0,0,0,0,0,0,0,0,0,0,0,1,8.0
1,3,1,63.0,0,0,9.5875,0,0,0,0,0,0,0,0,0,0,0,0,1,10.0
1,1,0,25.0,1,0,91.0792,0,0,0,1,0,0,0,0,0,0,1,0,0,91.0
0,3,1,13.983980691931087,3,1,25.4667,0,1,0,0,0,0,0,0,0,0,0,0,1,25.0
1,1,1,35.0,1,0,90.0,0,0,0,0,1,0,0,0,0,0,0,0,1,90.0
0,1,0,58.0,0,0,29.7,0,0,0,1,0,0,0,0,0,0,1,0,0,30.0
0,3,0,30.0,0,0,8.05,0,0,0,0,0,0,0,0,0,0,0,0,1,8.0
1,3,0,9.0,1,1,15.9,1,0,0,0,0,0,0,0,0,0,0,0,1,16.0
0,3,0,27.70467907843885,1,0,19.9667,0,0,0,0,0,0,0,0,0,0,0,0,1,20.0
0,3,0,21.0,0,0,7.25,0,0,0,0,0,0,0,0,0,0,0,0,1,7.0
0,1,0,55.0,0,0,30.5,0,0,0,0,1,0,0,0,0,0,0,0,1,30.0
0,1,0,71.0,0,0,49.5042,0,0,0,0,0,0,0,0,0,0,1,0,0,50.0
0,3,0,21.0,0,0,8.05,0,0,0,0,0,0,0,0,0,0,0,0,1,8.0
0,3,0,27.897749031795,0,0,14.4583,0,0,0,0,0,0,0,0,0,0,1,0,0,14.0
1,1,1,54.0,1,0,78.2667,0,1,0,0,0,1,0,0,0,0,1,0,0,78.0
0,3,0,29.95400146931754,0,0,15.1,0,0,0,0,0,0,0,0,0,0,0,0,1,15.0
0,1,1,25.0,1,2,151.55,0,0,0,0,1,0,0,0,0,0,0,0,1,152.0
0,3,0,24.0,0,0,7.7958,0,0,0,0,0,0,0,0,0,0,0,0,1,8.0
0,3,0,17.0,0,0,8.6625,0,0,0,0,0,0,0,0,0,0,0,0,1,9.0
0,3,1,21.0,0,0,7.75,0,1,0,0,0,0,0,0,0,0,0,1,0,8.0
0,3,1,26.70097471831125,0,0,7.6292,0,1,0,0,0,0,0,0,0,0,0,1,0,8.0
0,3,1,37.0,0,0,9.5875,0,1,0,0,0,0,0,0,0,0,0,0,1,10.0
1,1,1,16.0,0,0,86.5,0,1,0,1,0,0,0,0,0,0,0,0,1,86.0
0,1,0,18.0,1,0,108.9,0,0,0,0,1,0,0,0,0,0,1,0,0,109.0
1,2,1,33.0,0,2,26.0,0,0,0,0,0,0,0,0,0,0,0,0,1,26.0
1,1,0,38.16877812652254,0,0,26.55,0,0,0,0,0,0,0,0,0,0,0,0,1,27.0
0,3,0,28.0,0,0,22.525,0,0,0,0,0,0,0,0,0,0,0,0,1,23.0
1,3,0,26.0,0,0,56.4958,0,0,0,0,0,0,0,0,0,0,0,0,1,56.0
1,3,0,29.0,0,0,7.75,0,0,0,0,0,0,0,0,0,0,0,1,0,8.0
0,3,0,29.952125548674772,0,0,8.05,0,0,0,0,0,0,0,0,0,0,0,0,1,8.0
1,1,0,36.0,0,0,26.2875,0,0,0,0,0,0,1,0,0,0,0,0,1,26.0
1,1,1,54.0,1,0,59.4,0,0,0,0,0,0,0,0,0,0,1,0,0,59.0
0,3,0,24.0,0,0,7.4958,0,0,0,0,0,0,0,0,0,0,0,0,1,7.0
0,1,0,47.0,0,0,34.0208,0,0,0,0,0,1,0,0,0,0,0,0,1,34.0
1,2,1,34.0,0,0,10.5,0,0,0,0,0,0,0,1,0,0,0,0,1,10.0
0,3,0,35.577339305651776,0,0,24.15,0,0,0,0,0,0,0,0,0,0,0,1,0,24.0
1,2,1,36.0,1,0,26.0,0,0,0,0,0,0,0,0,0,0,0,0,1,26.0
0,3,0,32.0,0,0,7.8958,0,0,0,0,0,0,0,0,0,0,0,0,1,8.0
1,1,1,30.0,0,0,93.5,0,1,0,1,0,0,0,0,0,0,0,0,1,94.0
0,3,0,22.0,0,0,7.8958,0,0,0,0,0,0,0,0,0,0,0,0,1,8.0
0,3,0,27.895824337215522,0,0,7.225,0,0,0,0,0,0,0,0,0,0,1,0,0,7.0
1,1,1,44.0,0,1,57.9792,0,0,0,1,0,0,0,0,0,0,1,0,0,58.0
0,3,0,27.895825454785268,0,0,7.2292,0,0,0,0,0,0,0,0,0,0,1,0,0,7.0
0,3,0,40.5,0,0,7.75,0,0,0,0,0,0,0,0,0,0,0,1,0,8.0
1,2,1,50.0,0,0,10.5,0,1,0,0,0,0,0,0,0,0,0,0,1,10.0
0,1,0,42.271422516428444,0,0,221.7792,0,0,0,0,1,0,0,0,0,0,0,0,1,222.0
0,3,0,39.0,0,0,7.925,0,0,0,0,0,0,0,0,0,0,0,0,1,8.0
0,2,0,23.0,2,1,11.5,0,0,0,0,0,0,0,0,0,0,0,0,1,12.0
1,2,1,2.0,1,1,26.0,0,1,0,0,0,0,0,0,0,0,0,0,1,26.0
0,3,0,27.895825454785268,0,0,7.2292,0,0,0,0,0,0,0,0,0,0,1,0,0,7.0
0,3,0,17.0,1,1,7.2292,0,0,0,0,0,0,0,0,0,0,1,0,0,7.0
1,3,1,27.412096737274922,0,2,22.3583,0,0,0,0,0,0,0,0,0,0,1,0,0,22.0
0,3,1,30.0,0,0,8.6625,0,1,0,0,0,0,0,0,0,0,0,0,1,9.0
1,2,1,7.0,0,2,26.25,0,1,0,0,0,0,0,0,0,0,0,0,1,26.0
0,1,0,45.0,0,0,26.55,0,0,0,1,0,0,0,0,0,0,0,0,1,27.0
1,1,1,30.0,0,0,106.425,0,1,0,0,0,0,0,0,0,0,1,0,0,106.0
0,3,0,29.953841816496883,0,0,14.5,0,0,0,0,0,0,0,0,0,0,0,0,1,14.0
1,1,1,22.0,0,2,49.5,0,1,0,1,0,0,0,0,0,0,1,0,0,50.0
1,1,1,36.0,0,2,71.0,0,1,0,1,0,0,0,0,0,0,0,0,1,71.0
0,3,1,9.0,4,2,31.275,0,1,0,0,0,0,0,0,0,0,0,0,1,31.0
0,3,1,11.0,4,2,31.275,0,1,0,0,0,0,0,0,0,0,0,0,1,31.0
1,2,0,32.0,1,0,26.0,0,0,0,0,0,0,0,0,0,0,0,0,1,26.0
0,1,0,50.0,1,0,106.425,0,0,0,0,1,0,0,0,0,0,1,0,0,106.0
0,1,0,64.0,0,0,26.0,0,0,0,0,0,0,0,0,0,0,0,0,1,26.0
1,2,1,19.0,1,0,26.0,0,0,0,0,0,0,0,0,0,0,0,0,1,26.0
1,2,0,29.91586240202811,0,0,13.8625,0,0,0,0,0,0,0,0,0,0,1,0,0,14.0
0,3,0,33.0,1,1,20.525,0,0,0,0,0,0,0,0,0,0,0,0,1,21.0
1,2,0,8.0,1,1,36.75,1,0,0,0,0,0,0,0,0,0,0,0,1,37.0
1,1,0,17.0,0,2,110.8833,0,0,0,0,1,0,0,0,0,0,1,0,0,111.0
0,2,0,27.0,0,0,26.0,0,0,0,0,0,0,0,0,0,0,0,0,1,26.0
0,3,0,35.57299653605937,0,0,7.8292,0,0,0,0,0,0,0,0,0,0,0,1,0,8.0
1,3,0,22.0,0,0,7.225,0,0,0,0,0,0,0,0,0,0,1,0,0,7.0
1,3,1,22.0,0,0,7.775,0,1,0,0,0,0,0,0,0,0,0,0,1,8.0
0,1,0,62.0,0,0,26.55,0,0,0,0,0,0,0,0,0,0,0,0,1,27.0
1,1,1,48.0,1,0,39.6,0,0,1,0,0,0,0,0,0,0,1,0,0,40.0
0,1,0,40.34135961865498,0,0,227.525,0,0,0,0,0,0,0,0,0,0,1,0,0,228.0
1,1,1,39.0,1,1,79.65,0,0,0,0,0,0,1,0,0,0,0,0,1,80.0
1,3,1,36.0,1,0,17.4,0,0,0,0,0,0,0,0,0,0,0,0,1,17.0
0,3,0,35.57297546188704,0,0,7.75,0,0,0,0,0,0,0,0,0,0,0,1,0,8.0
0,3,0,40.0,0,0,7.8958,0,0,0,0,0,0,0,0,0,0,0,0,1,8.0
0,2,0,28.0,0,0,13.5,0,0,0,0,0,0,0,0,0,0,0,0,1,14.0
0,3,0,29.952125548674772,0,0,8.05,0,0,0,0,0,0,0,0,0,0,0,0,1,8.0
0,3,1,21.08015694853355,0,0,8.05,0,1,0,0,0,0,0,0,0,0,0,0,1,8.0
0,3,0,24.0,2,0,24.15,0,0,0,0,0,0,0,0,0,0,0,0,1,24.0
0,3,0,19.0,0,0,7.8958,0,0,0,0,0,0,0,0,0,0,0,0,1,8.0
0,3,1,29.0,0,4,21.075,0,0,0,0,0,0,0,0,0,0,0,0,1,21.0
0,3,0,27.895825454785268,0,0,7.2292,0,0,0,0,0,0,0,0,0,0,1,0,0,7.0
1,3,0,32.0,0,0,7.8542,0,0,0,0,0,0,0,0,0,0,0,0,1,8.0
1,2,0,62.0,0,0,10.5,0,0,0,0,0,0,0,0,0,0,0,0,1,10.0
1,1,1,53.0,2,0,51.4792,0,0,0,0,1,0,0,0,0,0,0,0,1,51.0
1,1,0,36.0,0,0,26.3875,0,0,0,0,0,0,1,0,0,0,0,0,1,26.0
1,3,1,22.525820723503145,0,0,7.75,0,1,0,0,0,0,0,0,0,0,0,1,0,8.0
0,3,0,16.0,0,0,8.05,0,0,0,0,0,0,0,0,0,0,0,0,1,8.0
0,3,0,19.0,0,0,14.5,0,0,0,0,0,0,0,0,0,0,0,0,1,14.0
1,2,1,34.0,0,0,13.0,0,1,0,0,0,0,0,0,0,0,0,0,1,13.0
1,1,1,39.0,1,0,55.9,0,0,0,0,0,0,1,0,0,0,0,0,1,56.0
0,3,1,30.032480513578022,1,0,14.4583,0,0,0,0,0,0,0,0,0,0,1,0,0,14.0
1,3,0,32.0,0,0,7.925,0,0,0,0,0,0,0,0,0,0,0,0,1,8.0
1,2,1,25.0,1,1,30.0,0,1,0,0,0,0,0,0,0,0,0,0,1,30.0
1,1,1,39.0,1,1,110.8833,0,0,0,0,1,0,0,0,0,0,1,0,0,111.0
0,2,0,54.0,0,0,26.0,0,0,0,0,0,0,0,0,0,0,0,0,1,26.0
0,1,0,36.0,0,0,40.125,0,0,1,0,0,0,0,0,0,0,1,0,0,40.0
0,3,0,27.896220143166744,0,0,8.7125,0,0,0,0,0,0,0,0,0,0,1,0,0,9.0
1,1,1,18.0,0,2,79.65,0,1,0,0,0,0,1,0,0,0,0,0,1,80.0
0,2,0,47.0,0,0,15.0,0,0,0,0,0,0,0,0,0,0,0,0,1,15.0
1,1,0,60.0,1,1,79.2,0,0,0,1,0,0,0,0,0,0,1,0,0,79.0
0,3,0,22.0,0,0,8.05,0,0,0,0,0,0,0,0,0,0,0,0,1,8.0
0,3,0,29.952125548674772,0,0,8.05,0,0,0,0,0,0,0,0,0,0,0,0,1,8.0
0,3,0,35.0,0,0,7.125,0,0,0,0,0,0,0,0,0,0,0,0,1,7.0
1,1,1,52.0,1,0,78.2667,0,0,0,0,0,1,0,0,0,0,1,0,0,78.0
0,3,0,47.0,0,0,7.25,0,0,0,0,0,0,0,0,0,0,0,0,1,7.0
0,3,1,26.003089766697464,0,2,7.75,0,1,0,0,0,0,0,0,0,0,0,1,0,8.0
0,2,0,37.0,1,0,26.0,0,0,0,0,0,0,0,0,0,0,0,0,1,26.0
0,3,0,36.0,1,1,24.15,0,0,0,0,0,0,0,0,0,0,0,0,1,24.0
1,2,1,23.105067750476728,0,0,33.0,0,1,0,0,0,0,0,0,0,0,0,0,1,33.0
0,3,0,49.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
0,3,0,27.895824337215522,0,0,7.225,0,0,0,0,0,0,0,0,0,0,1,0,0,7.0
1,1,0,49.0,1,0,56.9292,0,0,1,0,0,0,0,0,0,0,1,0,0,57.0
1,2,1,24.0,2,1,27.0,0,0,0,0,0,0,0,0,0,0,0,0,1,27.0
0,3,0,29.952084517899863,0,0,7.8958,0,0,0,0,0,0,0,0,0,0,0,0,1,8.0
0,1,0,42.348181760111004,0,0,42.4,0,0,0,0,0,0,0,0,0,0,0,0,1,42.0
0,3,0,44.0,0,0,8.05,0,0,0,0,0,0,0,0,0,0,0,0,1,8.0
1,1,0,35.0,0,0,26.55,0,0,0,0,0,0,0,0,0,0,1,0,0,27.0
0,3,0,36.0,1,0,15.55,0,0,0,0,0,0,0,0,0,0,0,0,1,16.0
0,3,0,30.0,0,0,7.8958,0,0,0,0,0,0,0,0,0,0,0,0,1,8.0
1,1,0,27.0,0,0,30.5,0,0,0,0,0,0,0,0,0,0,0,0,1,30.0
1,2,1,22.0,1,2,41.5792,0,0,0,0,0,0,0,0,0,0,1,0,0,42.0
1,1,1,40.0,0,0,153.4625,0,1,0,0,1,0,0,0,0,0,0,0,1,153.0
0,3,1,39.0,1,5,31.275,0,0,0,0,0,0,0,0,0,0,0,0,1,31.0
0,3,0,29.951859460640335,0,0,7.05,0,0,0,0,0,0,0,0,0,0,0,0,1,7.0
1,3,1,20.277265544254142,1,0,15.5,0,1,0,0,0,0,0,0,0,0,0,1,0,16.0
0,3,0,35.57297546188704,0,0,7.75,0,0,0,0,0,0,0,0,0,0,0,1,0,8.0
0,3,0,35.0,0,0,8.05,0,0,0,0,0,0,0,0,0,0,0,0,1,8.0
1,2,1,24.0,1,2,65.0,0,1,0,0,0,0,0,0,0,0,0,0,1,65.0
0,3,0,34.0,1,1,14.4,0,0,0,0,0,0,0,0,0,0,0,0,1,14.0
0,3,1,26.0,1,0,16.1,0,0,0,0,0,0,0,0,0,0,0,0,1,16.0
1,2,1,4.0,2,1,39.0,0,1,0,0,0,0,0,1,0,0,0,0,1,39.0
0,2,0,26.0,0,0,10.5,0,0,0,0,0,0,0,0,0,0,0,0,1,10.0
0,3,0,27.0,1,0,14.4542,0,0,0,0,0,0,0,0,0,0,1,0,0,14.0
1,1,0,42.0,1,0,52.5542,0,0,0,0,0,1,0,0,0,0,0,0,1,53.0
1,3,0,20.0,1,1,15.7417,0,0,0,0,0,0,0,0,0,0,1,0,0,16.0
0,3,0,21.0,0,0,7.8542,0,0,0,0,0,0,0,0,0,0,0,0,1,8.0
0,3,0,21.0,0,0,16.1,0,0,0,0,0,0,0,0,0,0,0,0,1,16.0
0,1,0,61.0,0,0,32.3208,0,0,0,0,0,1,0,0,0,0,0,0,1,32.0
0,2,0,57.0,0,0,12.35,0,0,0,0,0,0,0,0,0,0,0,1,0,12.0
1,1,1,21.0,0,0,77.9583,0,1,0,0,0,1,0,0,0,0,0,0,1,78.0
0,3,0,26.0,0,0,7.8958,0,0,0,0,0,0,0,0,0,0,0,0,1,8.0
0,3,0,35.57297101821687,0,0,7.7333,0,0,0,0,0,0,0,0,0,0,0,1,0,8.0
1,1,0,80.0,0,0,30.0,0,0,1,0,0,0,0,0,0,0,0,0,1,30.0
0,3,0,51.0,0,0,7.0542,0,0,0,0,0,0,0,0,0,0,0,0,1,7.0
1,1,0,32.0,0,0,30.5,0,0,0,1,0,0,0,0,0,0,1,0,0,30.0
0,1,0,42.33689962745096,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
0,3,1,9.0,3,2,27.9,0,1,0,0,0,0,0,0,0,0,0,0,1,28.0
1,2,1,28.0,0,0,13.0,0,1,0,0,0,0,0,0,0,0,0,0,1,13.0
0,3,0,32.0,0,0,7.925,0,0,0,0,0,0,0,0,0,0,0,0,1,8.0
0,2,0,31.0,1,1,26.25,0,0,0,0,0,0,0,0,0,0,0,0,1,26.0
0,3,1,41.0,0,5,39.6875,0,0,0,0,0,0,0,0,0,0,0,0,1,40.0
0,3,0,27.703650195836097,1,0,16.1,0,0,0,0,0,0,0,0,0,0,0,0,1,16.0
0,3,0,20.0,0,0,7.8542,0,0,0,0,0,0,0,0,0,0,0,0,1,8.0
1,1,1,24.0,0,0,69.3,0,0,0,1,0,0,0,0,0,0,1,0,0,69.0
0,3,1,2.0,3,2,27.9,0,1,0,0,0,0,0,0,0,0,0,0,1,28.0
1,3,0,25.789830258130742,0,0,56.4958,0,0,0,0,0,0,0,0,0,0,0,0,1,56.0
1,3,1,0.75,2,1,19.2583,0,1,0,0,0,0,0,0,0,0,1,0,0,19.0
1,1,0,48.0,1,0,76.7292,0,0,0,0,0,1,0,0,0,0,1,0,0,77.0
0,3,0,19.0,0,0,7.8958,0,0,0,0,0,0,0,0,0,0,0,0,1,8.0
1,1,0,56.0,0,0,35.5,0,0,1,0,0,0,0,0,0,0,1,0,0,36.0
0,3,0,29.951992504657554,0,0,7.55,0,0,0,0,0,0,0,0,0,0,0,0,1,8.0
1,3,1,23.0,0,0,7.55,0,1,0,0,0,0,0,0,0,0,0,0,1,8.0
0,3,0,29.952084517899863,0,0,7.8958,0,0,0,0,0,0,0,0,0,0,0,0,1,8.0
1,2,1,18.0,0,1,23.0,0,1,0,0,0,0,0,0,0,0,0,0,1,23.0
0,3,0,21.0,0,0,8.4333,0,0,0,0,0,0,0,0,0,0,0,0,1,8.0
1,3,1,22.525841797675476,0,0,7.8292,0,1,0,0,0,0,0,0,0,0,0,1,0,8.0
0,3,1,18.0,0,0,6.75,0,1,0,0,0,0,0,0,0,0,0,1,0,7.0
0,2,0,24.0,2,0,73.5,0,0,0,0,0,0,0,0,0,0,0,0,1,74.0
0,3,0,29.952084517899863,0,0,7.8958,0,0,0,0,0,0,0,0,0,0,0,0,1,8.0
0,3,1,32.0,1,1,15.5,0,0,0,0,0,0,0,0,0,0,0,1,0,16.0
0,2,0,23.0,0,0,13.0,0,0,0,0,0,0,0,0,0,0,0,0,1,13.0
0,1,0,58.0,0,2,113.275,0,0,0,0,0,1,0,0,0,0,1,0,0,113.0
1,1,0,50.0,2,0,133.65,0,0,0,0,0,0,0,0,0,0,0,0,1,134.0
0,3,0,40.0,0,0,7.225,0,0,0,0,0,0,0,0,0,0,1,0,0,7.0
0,1,0,47.0,0,0,25.5875,0,0,0,0,0,0,1,0,0,0,0,0,1,26.0
0,3,0,36.0,0,0,7.4958,0,0,0,0,0,0,0,0,0,0,0,0,1,7.0
1,3,0,20.0,1,0,7.925,0,0,0,0,0,0,0,0,0,0,0,0,1,8.0
